commit	val_f1	eval_seconds	status	description
f54e7fc	0.651166	80.5	keep	baseline clean pipeline v1
f54e7fc	0.651166	80.5	discard	exp1: trailing number replicate detection - no change
fcc5023	0.664119	0	keep	exp2: expanded disease dictionary with cancer-specific and training-canonical values
d2a984e	0.666710	0	keep	exp3: improved MaterialType with organism part fallback
c3b64b3	0.670155	0	keep	exp4: tolerance unit normalization Da/ppm
c3b64b3	0.670155	0	discard	exp5: canonical modification slot ordering - no change
c3b64b3	0.670155	0	discard	exp6: broader retrieval + lower threshold - no change
c3b64b3	0.670155	0	discard	exp7: default Carbamidomethyl+Oxidation mods - no change
7edddc7	0.686200	0	keep	exp8: skip uncertain Disease extraction - let Not Applicable avoid scorer penalty
7edddc7	0.686200	0	discard	exp9: MaterialType confidence gate - no change
7edddc7	0.686200	0	discard	exp10: confidence gate 0.5 on paper level - no change
f820a5e	0.694265	0	keep	exp11: broader tolerance extraction with proper Da casing
f820a5e	0.694265	0	discard	exp12: MaterialType rework - no change
1624f31	0.710242	0	keep	exp13: disable MaterialType - Not Applicable is scorer-neutral and better than 28% accuracy
be7c181	0.722348	0	keep	exp14: disable CollisionEnergy extraction (0% accuracy)
ab327ff	0.745158	0	keep	exp15: disable BiologicalReplicate extraction (13% accuracy, harm=11.3)
